referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,location.city,location.state,location.postalCode,url,location.crossStreet,storeId,venueChains.id
v-1461944107,0,6,7,false,United Kingdom,GB,96983,-5.966380336271698,54.57088253050534,Charles Hurst Lexus,4c7f9364fb13a1cdd5e2a0a4,,,,,,,,,Belfast,Belfast,,,,,
v-1461944107,1,3,3,false,United Kingdom,GB,5548,-1.497419,53.39708,Lexus Sheffield,4cd52ab0122ba143023a2aa1,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,Sheffield,Sheffield,S 6 2,http://listers.co.uk/Lexus,Derby Road,3,556e57d9bd6a82902e28cd48
v-1461944107,1,3,9,false,United Kingdom,GB,5597,-1.488631951713147,53.399043,Sheffield Lexus,4d46f3717e2e5481e8e1788f,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,Lincoln,Lincolnshire,LN6 3SR,http://www.stockport.lexus.co.uk,Off Canal Road,,556e57d9bd6a82902e28cd48
v-1461944107,0,7,14,true,United Kingdom,GB,59007,-0.6168329715,53.2059618664,Lexus Lincoln,4bf547dcff90c9b619265628,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,Stoke-on-Trent,Stoke-on-Trent,SK4 1DJ,http://www.manchester.lexus.co.uk,Nottingham Science Park,,
v-1461944107,,2,3,false,United Kingdom,GB,61693,-2.171071015791213,52.98870500245024,Lexus Stoke,5180d264498e712987dd3f95,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,Nottingham,Nottinghamshire,BD1 4SF,http://www.bolton.lexus.co.uk,South Gate,,
v-1461944107,,9,13,false,United Kingdom,GB,47142,-2.1726899829297817,53.410434307466545,Lexus Stockport,4bd80e8309ecb71375f7477c,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,Bradford,Greater Manchester,M7 2YJ,http://www.johnsonscars.co.uk/lexus,Saxon Way,,
v-1461944107,,16,19,false,United Kingdom,GB,54905,-2.2576565296968547,53.50166083612759,Lexus,4ecf8f8a30f81894ad485f6a,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,Manchester,Nottinghamshire,NG7 2RU,http://listers.co.uk/Lexus,,,
v-1461944107,,8,49,false,United Kingdom,GB,48950,-1.1848415743801777,52.944889382688565,Lexus Nottingham,4f2c18d8e4b0dd6b77b7e694,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,Nottingham,Nottinghamshire,NG11 8NS,,,,
v-1461944107,,6,10,false,United Kingdom,GB,48927,-1.4501703128895662,52.91063975236613,Lexus Derby,4cfb9084c6cca35dc30d8d32,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,Nottingham,Lancashire,HU13 9PB,,,,
v-1461944107,,9,12,false,United Kingdom,GB,54375,-1.7559027671813965,53.808025762483624,Lexus Bradford,554a2ac1498ef555984c74e9,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,Bolton,Kingston upon Hull,BL2 6BB,,,,
v-1461944107,,3,13,false,United Kingdom,GB,54829,-2.256714105606079,53.50115533245398,Lexus Manchester,554a267d498edc010762cd9c,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,Hull,Lancashire,L20 4TX,,,,
v-1461944107,,9,9,false,United Kingdom,GB,49857,-1.1862820319469896,52.935712467808344,Toyota and Lexus Academy,4e0d8a64d4c0f6d6b3f0e865,true,.png,https://ss3.4sqi.net/img/categories_v2/education/tradeschool_,Trade School,Trade Schools,Trade School,4bf58dd8d48988d1ad941735,true,Bolton,West Midlands,CV3 4LP,,,,
v-1461944107,,8,15,false,United Kingdom,GB,52480,-1.185622215270996,52.91051961507025,Toyota Lexus Training Centre (NTU),4fd674a71081f39fe85e6afd,true,.png,https://ss3.4sqi.net/img/categories_v2/education/default_,University,Universities,University,4bf58dd8d48988d1ae941735,true,Wolverhampton,West Midlands,,,,,
v-1461944107,,2,3,false,United Kingdom,GB,67382,-2.4106196636312394,53.579897589598275,Lexus,4e999aeb9a52ceeb8841d615,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,Bootle,,,,,,
v-1461944107,,5,6,false,United Kingdom,GB,81356,-0.4116315884606688,53.722152358698686,Hull Lexus,4d78b10110936dcb0e224a89,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,West Midlands,,,,,,
v-1461944107,,13,39,false,United Kingdom,GB,67178,-2.406799793243408,53.580608040219346,Lexus Bolton,554a282a498ec5399db77638,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,,,,,,,
