referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,location.city,location.state,location.postalCode,url,location.crossStreet,venuePage.id,storeId,menu.externalUrl,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type
v-1461333071,,1,1,false,United Kingdom,GB,79535,-1.499535867092926,52.41624695083813,Hello Chicken,53b1c3c8498e36e52867068c,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Advertising Agency,Advertising Agencies,Advertising Agency,52e81612bcbc57f1066b7a3d,true,,,,,,,,,,,,,
v-1461333071,,1,1,false,United Kingdom,GB,77150,-3.168658,51.475319,Hello Starling,5396fe46498e14bd1caf126f,true,.png,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Fast Food,Fast Food Restaurants,Fast Food Restaurant,4bf58dd8d48988d16e941735,,,,,,,,,,,,,,
v-1461333071,,3,15,false,United Kingdom,GB,78446,-1.5099242,52.4087964,Hello chicken,50b274b8e4b0df437195fb5e,true,.png,https://ss3.4sqi.net/img/categories_v2/education/academicbuilding_,Academic Building,College Academic Buildings,College Academic Building,4bf58dd8d48988d198941735,,,,,,,,,,,,,,
v-1461333071,,3,7,false,United Kingdom,GB,68706,-1.26414,51.771995,#hellonearth,5334cf8d498e725e04c44f15,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics,Cosmetics Shops,Cosmetics Shop,4bf58dd8d48988d10c951735,,,,,,,,,,,,,,
v-1461333071,,2,20,false,United Kingdom,GB,79839,-3.17463486,51.43949057,Hello Gorgeous!,4c1268c57f7f2d7f8338dd68,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Driving School,Driving Schools,Driving School,52e81612bcbc57f1066b7a42,,,,,,,,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,77739,-3.180734,51.476868,Hell On Earth,4bd0a66c046076b020697071,true,.png,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro,Bistros,Bistro,52e81612bcbc57f1066b79f1,,,,,,,,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,129503,-1.8703901767730713,50.73111097963459,Hello Driving School,503d1cf1b0ed55adf5e5de2e,,,,,,,,,,,,,,,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,132265,-2.122643,50.684502,Hello Fresh Time,56a27af9498ecca51e612c80,,,,,,,,,,,,,,,,,,,,,
v-1461333071,0,3,18,false,United Kingdom,GB,63866,-6.768719204594822,54.49514140447191,hello dolly,5276342f498edf71b9049964,true,.png,https://ss3.4sqi.net/img/categories_v2/food/asian_,Asian,Asian Restaurants,Asian Restaurant,4bf58dd8d48988d142941735,true,,,,,,,,,,,,,
v-1461333071,,2,3,false,United Kingdom,GB,100129,-5.8990468615882445,54.5845404883488,Hello Beijing,50e32e10e4b06fa9adaed625,true,.png,https://ss3.4sqi.net/img/categories_v2/food/asian_,Chinese,Chinese Restaurants,Chinese Restaurant,4bf58dd8d48988d145941735,true,,,,,,,,,,,,,
